id,category,file_path,original_text,processed_text,sentiment,publish_time,likes,comments,shares
10,comp.sys.ibm.pc.hardware,D:\网络舆情\qimo\20news-bydate\20news-bydate-train\comp.sys.ibm.pc.hardware\60543,I got a harddisk shipped with an IDE specification but not the SCSI spec. Would someone tell me how to set the jumper on the harddrive? Thanks. Please email response. Philip Sinn sinn@carson.u.washington.edu University of Washington,got harddisk shipped ide specification not scsi spec someone tell me how set jumper harddrive thanks please email response philip sinn sinn carson washington edu university washington,中性,2003-03-18 20:23:57,451,135,87
11,sci.crypt,D:\网络舆情\qimo\20news-bydate\20news-bydate-test\sci.crypt\15801,"I was annoyed to find that this guy posted my private e-mail response to him, but since I believe what I said, I'll defend it anyway. In article <gfpo=Wu00WC70qOQ4O@andrew.cmu.edu> jb7m+@andrew.cmu.edu (Jon C. R. Bennett) writes: By ""almost"" I mean the differential cryptanalysis attack. The chosen plaintext attack requires a detailed analysis of about 2^36 chosen plaintexts drawn from a total of about 2^47 that need to be run, if I understand the situation correctly. This is certainly a ""break"" ",annoyed find guy posted private mail response him since believe what said ll defend anyway article gfpo wu wc qoq andrew cmu edu jb andrew cmu edu jon bennett writes almost mean differential cryptanalysis attack chosen plaintext attack requires detailed analysis about chosen plaintexts drawn from total about need run if understand situation correctly certainly break under meaning act not constitute much less work than brute force keysearch rest article assumes can figure out skipjack encryption algorithm choosing correct data send through observe results wish him joy choose not try attack am not defending system fact am offended ideas escrowed keys secret algorithm becoming de facto industry standard however also object opposing wrong reasons since weakens case against said private mail quite different government percentage choosing weak key since not advantage anybody else know experts thus assume worse than anything else during analysis totally different situation from unknown boxes again not saying good satisfactory experts just given raw,中性,2003-03-18 20:24:28,490,184,17
12,comp.windows.x,D:\网络舆情\qimo\20news-bydate\20news-bydate-test\comp.windows.x\67422,"In article <1rnodlINNlde@fbi-news.Informatik.Uni-Dortmund.DE>, klute@tommy.informatik.uni-dortmund.de (Rainer Klute) writes: |> If ... |> |> a) ...this seems attractive to you, |> b) ...you are willing to test Imake-TeX and send me a short test |> report, |> c) ...you are willing to cope with a rudimentary English documentation |> (however, the German version is completed and included), |> |> then you are invited as a beta tester. I am looking forward to your |> e-mail. Please don't respond anym",article rnodlinnlde fbi news informatik uni dortmund de klute tommy informatik uni dortmund de rainer klute writes if ... ... seems attractive ... willing test imake tex send me short test report ... willing cope rudimentary english documentation however german version completed included then invited as beta tester am looking forward mail please don respond anymore enough beta testers now thank dipl inform rainer klute immer richtig beraten univ dortmund irb postfach tel dortmund fax new address after june th univ dortmund dortmund,中性,2003-03-18 20:24:05,333,15,59
13,misc.forsale,D:\网络舆情\qimo\20news-bydate\20news-bydate-test\misc.forsale\76456,"I am not a company, thus this is not a commercial sale. I purchased 256 T-shirts last fall for a fund raiser that fell through. We didn't have the time to sell the shirts. I have about 175 shirts left and I am willing to sell them to you for $5.25 a piece (more than a dollar discount of what you would have paid the supplier for the shirts, even in bulk) (That's $918.75 for 175 shirts) These shirts are Jim Morris T-shirts. They are all 100% cotton and most have more than 4 colors. (They are clean",am not company thus not commercial sale purchased shirts last fall fund raiser fell through didn time sell shirts about shirts left am willing sell piece more than dollar discount what paid supplier shirts even bulk shirts shirts jim morris shirts all cotton most more than colors clean neatly folded box if happen damaged refund money each damaged shirt replace option sell least piece higher number nicer shirts raise money school event organization realize big investment pay off big willing sell shirts lots only shirt pay shipping prefer local buyers give more bargaining power please help me not time sell shirts need money am taking big loss selling cheap give jim morris phone number can varify prices all prices negotiable truman please email tf andrew cmu edu tell all clubs area about deal once re gone re gone cause am not business,中性,2003-03-18 20:24:10,112,186,20
14,alt.atheism,D:\网络舆情\qimo\20news-bydate\20news-bydate-test\alt.atheism\53350,"In article <930420.113512.1V3.rusnews.w165w@mantis.co.uk> mathew <mathew@mantis.co.uk> writes: I looked back at this, and asked some questions of various people and got the following information which I had claimed and you pooh-poohed. The US has not sold Iraq any arms. Their navy is entirely made of F-USSR vessels. Their airforce (not including stuff captured from Kuwait which I am not as sure about), doesn't include any US equipment. Their missiles are all non-US. Their tanks are almost all so",article rusnews mantis co uk mathew mathew mantis co uk writes looked back asked questions various people got following information which claimed pooh poohed not sold iraq arms navy entirely made ussr vessels airforce not including stuff captured from kuwait which am not as sure about doesn include equipment missiles all non tanks almost all soviet about french tanks older ones only stuff iraqi arsenal few not sold iraq iraq captured from other countries like kuwait information hard prove claiming sold information prove now how build up iraq again just gave fairly conclusive evidence didn sell arms iraq information hard prove almost certainly if sell information then fact classified can prove if can provide useful evidence sold arms valuable intelligence iraq am very interested not if just make claims based what everyone knows mccullou whipple cs wisc edu never program drink beer same time doesn work,中性,2003-03-18 20:23:47,143,136,94
15,rec.motorcycles,D:\网络舆情\qimo\20news-bydate\20news-bydate-train\rec.motorcycles\104437,"hey... I'm pretty new to the wonderful world of motorcycles... I just bought a used 81 Kaw KZ650 CSR from a friend.... I was just wondering what kind of saddle bags I could get for it (since I know nothing about them) are there bags for the gas tank? how much would some cost, and how much do they hold? thanks for your advice!!! I may be new to riding, but I love it already!!!! :) ----- jbourgui@ucs.indiana.edu (DoD #55,555)",hey ... pretty new wonderful world motorcycles ... just bought used kaw kz csr from friend .... just wondering what kind saddle bags get since know nothing about there bags gas tank how much cost how much hold thanks advice new riding love already jbourgui ucs indiana edu dod,正面,2003-03-18 20:24:15,189,19,4
16,rec.sport.baseball,D:\网络舆情\qimo\20news-bydate\20news-bydate-train\rec.sport.baseball\104567,"I would e-mail this to you, but my mailserver doesn't recognize you or something. Anyway, the worst pitcher on the Yanks. If you mean currently on the team, then I have to go with Scott ""I'm a schizophrenic...No, I'm NOT!"" Kamienicki. Sure, occasionally the guy can pitch well for 5 or 6 innings, but then he starts to go insane. A sure sign that he's losing his stuff (and his mind) is when he starts to stalk around the mound between batters and yell at himself. The worst all-time Yanks pitcher? G",mail mailserver doesn recognize something anyway worst pitcher yanks if mean currently team then go scott schizophrenic ... not kamienicki sure occasionally guy can pitch well innings then starts go insane sure sign losing stuff mind when starts stalk around mound between batters yell himself worst all time yanks pitcher gotta go ed new york pitch gulp new york whitson nuff said outta here like vladimir alan sepinwall xviii what ice what happens water when gets too cold kent what happens people when get too sexually frustrated val kilmer real genius,正面,2003-03-18 20:24:19,127,111,20
17,rec.motorcycles,D:\网络舆情\qimo\20news-bydate\20news-bydate-test\rec.motorcycles\105130,"I got a sample of black reflector material, maybe from ""Conspicuity""? It is black but reflects silver if the angle of incidence is shallow. Whoever it was I got it from sold/sells kits that fit BMW (and other brands?) of luggage and fenders. Don't know what I did with the sample; the kits seemed too expensive, as I recall. Henry Prange - biker/reflectionologist Physiology/IU Sch. Med., Blgtn., 47405 DoD #0821; BMWMOA #11522; GSI #215 ride = '92 R100GS; '91 RX-7 conv = cage/2; '91 Explorer = cage",got sample black reflector material maybe from conspicuity black reflects silver if angle incidence shallow whoever got from sold sells kits fit bmw other brands luggage fenders don know what sample kits seemed too expensive as recall henry prange biker reflectionologist physiology iu sch med blgtn dod bmwmoa gsi ride gs rx conv cage explorer cage all lie cheat steal mostly little sometimes lot relax,中性,2003-03-18 20:24:17,326,126,92
18,talk.politics.guns,D:\网络舆情\qimo\20news-bydate\20news-bydate-train\talk.politics.guns\54653,"In article 1r1lp1INN752@mojo.eng.umd.edu, chuck@eng.umd.edu (Chuck Harris - WA3UQV) writes: Interesting... after several hours worth of exposure, do you still posess the presence of mind to be able to determine how to escape from an inferno surrounding you? In other words, is it possible that the prolonged gassing disoriented the wackos enough that possibility of escape was rendered questionable?",article lp inn mojo eng umd edu chuck eng umd edu chuck harris wa uqv writes interesting ... after several hours worth exposure still posess presence mind able determine how escape from inferno surrounding other words possible prolonged gassing disoriented wackos enough possibility escape rendered questionable,中性,2003-03-18 20:24:46,488,71,23
19,sci.space,D:\网络舆情\qimo\20news-bydate\20news-bydate-test\sci.space\62477,"In article <1so442$3qm@access.digex.net> prb@access.digex.net (Pat) writes: When I went thru all the spinning chair tests at JSC the PhD in charge was Milt Reshke but the technician who strapped me in and, on occasion, inserted the ""probe"" (needle) was named Bev Bloodworth.",article qm access digex net prb access digex net pat writes when went thru all spinning chair tests jsc phd charge milt reshke technician who strapped me occasion inserted probe needle named bev bloodworth,中性,2003-03-18 20:24:40,448,47,29
20,rec.sport.baseball,D:\网络舆情\qimo\20news-bydate\20news-bydate-train\rec.sport.baseball\105144,"My dad has always blamed the Phillies collapse in '64 on me... On Sept 21, 1964, the Phillies had something like a 9 game lead with 12 to play. I was born on Sept 21, 1964. The Phils proceeded to lose something like 10 straight while the Cards won 10 straight (does anyone know hte exact numbers?), and a pennant was blown. To this day my dad likes to remind me that it all began when I was born! KRM",dad always blamed phillies collapse me ... sept phillies something like game lead play born sept phils proceeded lose something like straight while cards won straight anyone know hte exact numbers pennant blown day dad likes remind me all began when born krm,正面,2003-03-18 20:24:19,187,140,93
21,sci.space,D:\网络舆情\qimo\20news-bydate\20news-bydate-test\sci.space\61568,"In article <schumach.736269085@convex.convex.com>, schumach@convex.com (Richard A. Schumacher) writes: |> [Description of Boeing study of two-staged spaceplane using |> supersonic ramjets deleted.] |> |> In other words, Boeing is not seriously thinking about |> reliable, less-expensive access to orbit. They just like |> to fool around with exotic airplanes. |> No, it means that Boeing has something called foresight and vision... Boeing became the success it is today by working on what you call """,article schumach convex convex com schumach convex com richard schumacher writes description boeing study two staged spaceplane using supersonic ramjets deleted other words boeing not seriously thinking about reliable less expensive access orbit just like fool around exotic airplanes means boeing something called foresight vision ... boeing became success today working what call exotic airplanes,中性,2003-03-18 20:24:40,486,59,23
22,comp.os.ms-windows.misc,D:\网络舆情\qimo\20news-bydate\20news-bydate-test\comp.os.ms-windows.misc\10849,In article <MEKENKAMP.6.737653432@STPC.WI.LeidenUniv.NL> MEKENKAMP@STPC.WI.LeidenUniv.NL (Leo Mekenkamp) writes: *Sigh* Don't know what your roomate is doing but it must be something wrong. Are there people who enjoy using Windows? Yes. I'll admit to it. Given a choice between a Mac and Windows I choose Windows every time (to start another flame thread 9-) ) .... -- ------------------------------------------------------------------------------- Iskandar Taib | The only thing worse than Peach ala,article mekenkamp stpc wi leidenuniv nl mekenkamp stpc wi leidenuniv nl leo mekenkamp writes sigh don know what roomate something wrong there people who enjoy using windows ll admit given choice between mac windows choose windows every time start another flame thread .... iskandar taib only thing worse than peach ala internet ntaib silver ucs indiana edu frog frog ala peach bitnet ntaib iubacs,中性,2003-03-18 20:23:55,398,65,97
23,rec.sport.hockey,D:\网络舆情\qimo\20news-bydate\20news-bydate-test\rec.sport.hockey\54540,"cs902043@ariel.yorku.ca (SHAWN LUDDINGTON) writes: I dunno about hat. I have friends up there on GEnie who are now saying that Ottawa's gone soft on Daigle and is thinking hard about Pronger. Daigle has shown an Attitude the latter part of this season many folks havne't liked, and after coming back from his (second) multi-game suspension for being stupid, he's really tanked in his performance. His stock is dropping like a rock. Also remember that a lot of teh ""draft 1st"" stuff comes from the ass",cs ariel yorku ca shawn luddington writes dunno about hat friends up there genie who now saying ottawa gone soft daigle thinking hard about pronger daigle shown attitude latter part season many folks havne liked after coming back from second multi game suspension stupid really tanked performance stock dropping like rock also remember lot teh draft st stuff comes from assumption ll traded quebec lots prospects not clear quebec really willing pay lot him given current status still first round don consider him first pick lock means point also possible senators posturing try bring down signing price since daigle taking lindros lessons during thos suspensions kariya won go first three very simple reason not leaving college don believe expansion teams going use first someone who won around another year two not when there equally good almost as good stuff available can make immediate impact san jose seems leaning heavily towards niedermayer reason kariya go th th unless team can convince him leave school early which doubt cut things as stand today depends if sharks can get deal him,正面,2003-03-18 20:24:24,180,19,39
24,talk.politics.mideast,D:\网络舆情\qimo\20news-bydate\20news-bydate-train\talk.politics.mideast\76491,You are such a LOSER!!!! ******************************************************************** System: fourd.com Phone: 617-494-0565 Cute quote: Being a computer means never having to say you're sorry ********************************************************************,such loser system fourd com phone cute quote computer means never say re sorry,负面,2003-03-18 20:24:49,63,71,87
25,sci.space,D:\网络舆情\qimo\20news-bydate\20news-bydate-train\sci.space\61039,"SSRT ROLLOUT Speech Delivered by Col. Simon P. Worden, The Deputy for Technology, SDIO Mcdonnell Douglas - Huntington Beach April 3,1993 Most of you, as am I, are ""children of the 1960's."" We grew up in an age of miracles -- Inter-Continental Ballistic Missiles, nuclear energy, computers, flights to the moon. But these were miracles of our parent's doing. For a decade and more the pundits have told us - ""you've lost it!"" The ""me"" generation is only living on the accomplishments of the past. You ",ssrt rollout speech delivered col simon worden deputy technology sdio mcdonnell douglas huntington beach april most as am children grew up age miracles inter continental ballistic missiles nuclear energy computers flights moon miracles parent decade more pundits told ve lost me generation only living accomplishments past even begun believe pessimists listen awe as past generation tells triumphs living history privileged hear who tell few weeks ago very team listened awe as general bernie schriever told team work struggle build nation intercontinental ballistic missile what stories can tell blurry eyed telescopes thousand dollar toilet seats even space launch vehicles hearken only past great time seem destined remain gen schriever icbms find hard swell pride best new space lifter idea refurbish old minuteman poseidon ballistic missiles well pessimists wrong legacy continuing event proof technological parents ve listened stories ve caught enthusiasm can spirit ve learned from achievements mistakes let me honor one,中性,2003-03-18 20:24:38,427,181,61
26,talk.politics.mideast,D:\网络舆情\qimo\20news-bydate\20news-bydate-train\talk.politics.mideast\76309,The fact that Israel is already discussing with some Palestinians what the composition of the armed Palestinian Police Force in the territories will be during the transition phase indicates some real solid concessions and liberal thinking on the part of the Israeli side. -- Chris Metcalfe,fact israel already discussing palestinians what composition armed palestinian police force territories during transition phase indicates real solid concessions liberal thinking part israeli side chris metcalfe,负面,2003-03-18 20:24:50,194,51,32
27,rec.sport.hockey,D:\网络舆情\qimo\20news-bydate\20news-bydate-train\rec.sport.hockey\52601,"What about his rectum? -- GO SKINS! ||""Now for the next question... Does emotional music have quite GO BRAVES! || an effect on you?"" - Mike Patton, Faith No More GO HORNETS! || GO CAPITALS! ||Mike Friedman (Hrivnak fan!) Internet: gtd597a@prism.gatech.edu",what about rectum go skins now next question ... emotional music quite go braves effect mike patton faith more go hornets go capitals mike friedman hrivnak fan internet gtd prism gatech edu,中性,2003-03-18 20:24:22,333,115,53
28,comp.sys.ibm.pc.hardware,D:\网络舆情\qimo\20news-bydate\20news-bydate-test\comp.sys.ibm.pc.hardware\60960,"In article <C5t7Gs.7v3@news.iastate.edu> schauf@iastate.edu (Brian J Schaufenbuel) writes: I don't see this as a problem with the chip-set (a mistake), I see this as something that was designed-in intentionally. So it would seem that to enhance the design (from 24 to 32-bit EISA DMA) would require an update to the chipset. An update to the chipset may begat an update to the motherboard board design. What I'm saing is: The motherboard manufacturer seems to be passing this off as a simple fix. In ",article gs news iastate edu schauf iastate edu brian schaufenbuel writes don see as problem chip set mistake see as something designed intentionally seem enhance design from bit eisa dma require update chipset update chipset begat update motherboard board design what saing motherboard manufacturer seems passing off as simple fix mind fix updated chipset from hint along possible motherboard layout update not simple if cautious about look into advanced integration research air vl eisa motherboard all slots eisa isa capable slots vl bus capable air people confirmed board supports real bit eisa dma called pentium capable less expensive than equivalent ami micronics vl eisa board look computer shopper april zenon ads show air mother board associate bought air board pleased attempting get local dealer trade out hawk board air board model number air board dx ei can call motherboard warehouse example price phone included below air motherboard warehouse gary korenek korenek nmti com network management technology incorporated sugar land,中性,2003-03-18 20:23:58,136,169,67
29,talk.politics.misc,D:\网络舆情\qimo\20news-bydate\20news-bydate-train\talk.politics.misc\176956,"cramer@optilink.COM (Clayton Cramer) writes: ""Women are only interested in clothes and shopping"" ""Whites are imperialist colonial fascists"" ""Blacks are lazy uneducated scum"" ""Men are rapists"" ""Homosexuals support child-molesting"" Slogans, my dear Cramer, are not an adequate substitute for thought. -- Tony Quirke, Wellington, New Zealand. Quirke_a@kosmos.wcc.govt.nz ""Usenet is like a herd of performing elephants with diarrhea -- massive, difficult to redirect, awe-inspiring, entertaining, and a s",cramer optilink com clayton cramer writes women only interested clothes shopping whites imperialist colonial fascists blacks lazy uneducated scum men rapists homosexuals support child molesting slogans dear cramer not adequate substitute thought tony quirke wellington new zealand quirke kosmos wcc govt nz usenet like herd performing elephants diarrhea massive difficult redirect awe inspiring entertaining source mind boggling amounts excrement when least expect gene spafford,中性,2003-03-18 20:24:52,191,58,70
30,rec.motorcycles,D:\网络舆情\qimo\20news-bydate\20news-bydate-test\rec.motorcycles\104856,"kevin.l.stell (kstell@cbnewsl.cb.att.com) wrote: : [... SQUIDS ...] : I felt embarassed at this point to be a motorcyclist. I felt the eyes of those : in cages, witnessing this display, then glancing over to the dealers lot and : damning all those on two wheels. Needless to say, my friend felt a little : uncomfortable and we left. Did you express your embarrassment to the owner? I don't blame you for being embarrassed, but I would have let my feeling be known that the behaviour of their sales st",kevin stell kstell cbnewsl cb att com wrote ... squids ... felt embarassed point motorcyclist felt eyes cages witnessing display then glancing over dealers lot damning all two wheels needless say friend felt little uncomfortable left express embarrassment owner don blame embarrassed let feeling known behaviour sales staff apparent enjoyment such behaviour just cost sale all further sales now turn off frustration go ride ... peacefully clear anger only hope cop who following me home open mind doesn associate me sound good enjoy btw can afford new bike ..... who can merf,正面,2003-03-18 20:24:17,204,91,20
31,sci.space,D:\网络舆情\qimo\20news-bydate\20news-bydate-train\sci.space\60253,"In article <C532v3.Ftn.1@cs.cmu.edu> buenneke@monty.rand.org (Richard Buenneke) writes: McDonnell Douglas rolls out DC-X ... SSTO research remains cloudy. The SDI Organization -- which paid $60 million for the DC-X -- can't itself afford to fund full development of a follow-on vehicle. To get the necessary hundreds of millions required for This is a little peculiar way of putting it, SDIO's budget this year was, what, $3-4 billion? They _could_ fund all of the DC development out of one years bud",article ftn cs cmu edu buenneke monty rand org richard buenneke writes mcdonnell douglas rolls out dc ... ssto research remains cloudy sdi organization which paid million dc can itself afford fund full development follow vehicle get necessary hundreds millions required little peculiar way putting sdio budget year what billion fund all dc development out one years budget course other irons fire launcher development not primary purpose dc development as easily paid diverting money as diverting comparable sts ops budget ... oh before flames start applaud sdio funding dc devlopment hope works launcher development not nasas primary goal either imho supposed provide enabling technology research others launcher development secondarily operate such launchers as require just me steinn sigurdsson saw two shooting stars last night lick observatory wished only satellites steinly lick ucsc edu wrong wish space hardware standard disclaimer wish wish wish care,负面,2003-03-18 20:24:37,122,316,95
32,talk.politics.guns,D:\网络舆情\qimo\20news-bydate\20news-bydate-test\talk.politics.guns\54824,"In article <C5yEAB.HAC@news.udel.edu> roby@chopin.udel.edu (Scott W Roby) writes: rn11195@medtronic.COM (Robert Nehls) writes: Still thinking you have all the answers, eh? Jim -- jmd@handheld.com ------------------------------------------------------------------------------- ""I'm always rethinking that. There's never been a day when I haven't rethought that. But I can't do that by myself."" Bill Clinton 6 April 93 ""If I were an American, as I am an Englishman, while a foreign troop was landed in ",article yeab hac news udel edu roby chopin udel edu scott roby writes rn medtronic com robert nehls writes still thinking all answers eh jim jmd handheld com always rethinking there never day when haven rethought can myself bill clinton april if american as am englishman while foreign troop landed country never lay down arms never never never william pitt earl chatham nov,中性,2003-03-18 20:24:48,267,113,10
